2016/03/20;1;6;Nico Rosberg;Mercedes;57;1:48:15.565;2;25;
2016/03/20;2;44;Lewis Hamilton;Mercedes;57;+8.060s;1;18;
2016/03/20;3;5;Sebastian Vettel;Ferrari;57;+9.643s;3;15;
2016/03/20;4;3;Daniel Ricciardo;Red Bull Racing TAG Heuer;57;+24.330s;8;12;
2016/03/20;5;19;Felipe Massa;Williams Mercedes;57;+58.979s;6;10;
2016/03/20;6;8;Romain Grosjean;Haas Ferrari;57;+72.081s;19;8;
2016/03/20;7;27;Nico Hulkenberg;Force India Mercedes;57;+74.199s;10;6;
2016/03/20;8;77;Valtteri Bottas;Williams Mercedes;57;+75.153s;16;4;
2016/03/20;9;55;Carlos Sainz;Toro Rosso Ferrari;57;+75.680s;7;2;
2016/03/20;10;33;Max Verstappen;Toro Rosso Ferrari;57;+76.833s;5;1;
2016/03/20;11;30;Jolyon Palmer;Renault;57;+83.399s;13;0;
2016/03/20;12;20;Kevin Magnussen;Renault;57;+85.606s;14;0;
2016/03/20;13;11;Sergio Perez;Force India Mercedes;57;+91.699s;9;0;
2016/03/20;14;22;Jenson Button;McLaren Honda;56;+1 lap;12;0;
2016/03/20;15;12;Felipe Nasr;Sauber Ferrari;56;+1 lap;17;0;
2016/03/20;16;94;Pascal Wehrlein;MRT Mercedes;56;+1 lap;21;0;
2016/03/20;NC;9;Marcus Ericsson;Sauber Ferrari;38;DNF;15;0;
2016/03/20;NC;7;Kimi Raikkonen;Ferrari;21;DNF;4;0;
2016/03/20;NC;88;Rio Haryanto;MRT Mercedes;17;DNF;22;0;
2016/03/20;NC;21;Esteban Gutierrez;Haas Ferrari;16;DNF;20;0;
2016/03/20;NC;14;Fernando Alonso;McLaren Honda;16;DNF;11;0;
2016/03/20;NC;26;Daniil Kvyat;Red Bull Racing TAG Heuer;0;DNS;18;0;
2016/04/03;1;6;Nico Rosberg;Mercedes;57;1:33:34.696;2;25;
2016/04/03;2;7;Kimi Raikkonen;Ferrari;57;+10.282s;4;18;
2016/04/03;3;44;Lewis Hamilton;Mercedes;57;+30.148s;1;15;
2016/04/03;4;3;Daniel Ricciardo;Red Bull Racing TAG Heuer;57;+62.494s;5;12;
2016/04/03;5;8;Romain Grosjean;Haas Ferrari;57;+78.299s;9;10;
2016/04/03;6;33;Max Verstappen;Toro Rosso Ferrari;57;+80.929s;10;8;
2016/04/03;7;26;Daniil Kvyat;Red Bull Racing TAG Heuer;56;+1 lap;15;6;
2016/04/03;8;19;Felipe Massa;Williams Mercedes;56;+1 lap;7;4;
2016/04/03;9;77;Valtteri Bottas;Williams Mercedes;56;+1 lap;6;2;
2016/04/03;10;47;Stoffel Vandoorne;McLaren Honda;56;+1 lap;12;1;
2016/04/03;11;20;Kevin Magnussen;Renault;56;+1 lap;0;0;
2016/04/03;12;9;Marcus Ericsson;Sauber Ferrari;56;+1 lap;17;0;
2016/04/03;13;94;Pascal Wehrlein;MRT Mercedes;56;+1 lap;16;0;
2016/04/03;14;12;Felipe Nasr;Sauber Ferrari;56;+1 lap;21;0;
2016/04/03;15;27;Nico Hulkenberg;Force India Mercedes;56;+1 lap;8;0;
2016/04/03;16;11;Sergio Perez;Force India Mercedes;56;+1 lap;18;0;
2016/04/03;17;88;Rio Haryanto;MRT Mercedes;56;+1 lap;20;0;
2016/04/03;NC;55;Carlos Sainz;Toro Rosso Ferrari;29;DNF;11;0;
2016/04/03;NC;21;Esteban Gutierrez;Haas Ferrari;9;DNF;13;0;
2016/04/03;NC;22;Jenson Button;McLaren Honda;6;DNF;14;0;
2016/04/03;NC;5;Sebastian Vettel;Ferrari;0;DNS;3;0;
2016/04/03;NC;30;Jolyon Palmer;Renault;0;DNS;19;0;
2016/04/17;1;6;Nico Rosberg;Mercedes;56;1:38:53.891;1;25;
2016/04/17;2;5;Sebastian Vettel;Ferrari;56;+37.776s;4;18;
2016/04/17;3;26;Daniil Kvyat;Red Bull Racing TAG Heuer;56;+45.936s;6;15;
2016/04/17;4;3;Daniel Ricciardo;Red Bull Racing TAG Heuer;56;+52.688s;2;12;
2016/04/17;5;7;Kimi Raikkonen;Ferrari;56;+65.872s;3;10;
2016/04/17;6;19;Felipe Massa;Williams Mercedes;56;+75.511s;10;8;
2016/04/17;7;44;Lewis Hamilton;Mercedes;56;+78.230s;22;6;
2016/04/17;8;33;Max Verstappen;Toro Rosso Ferrari;56;+79.268s;9;4;
2016/04/17;9;55;Carlos Sainz;Toro Rosso Ferrari;56;+84.127s;8;2;
2016/04/17;10;77;Valtteri Bottas;Williams Mercedes;56;+86.192s;5;1;
2016/04/17;11;11;Sergio Perez;Force India Mercedes;56;+94.283s;7;0;
2016/04/17;12;14;Fernando Alonso;McLaren Honda;56;+97.253s;11;0;
2016/04/17;13;22;Jenson Button;McLaren Honda;56;+101.990s;12;0;
2016/04/17;14;21;Esteban Gutierrez;Haas Ferrari;55;+1 lap;18;0;
2016/04/17;15;27;Nico Hulkenberg;Force India Mercedes;55;+1 lap;13;0;
2016/04/17;16;9;Marcus Ericsson;Sauber Ferrari;55;+1 lap;15;0;
2016/04/17;17;20;Kevin Magnussen;Renault;55;+1 lap;17;0;
2016/04/17;18;94;Pascal Wehrlein;MRT Mercedes;55;+1 lap;21;0;
2016/04/17;19;8;Romain Grosjean;Haas Ferrari;55;+1 lap;14;0;
2016/04/17;20;12;Felipe Nasr;Sauber Ferrari;55;+1 lap;16;0;
2016/04/17;21;88;Rio Haryanto;MRT Mercedes;55;+1 lap;20;0;
2016/04/17;22;30;Jolyon Palmer;Renault;55;+1 lap;19;0;
2016/05/01;1;6;Nico Rosberg;Mercedes;53;1:32:41.997;1;25;
2016/05/01;2;44;Lewis Hamilton;Mercedes;53;+25.022s;10;18;
