FECHA;PUESTOLLEGADA;NUMAUTO;NOMBREPILOTO;EQUIPO;VUELTAS;TPOCARRERA;PUESTOPARRILLA;PUNTOSCARRERA
2012/04/22;1;1;Sebastian Vettel;Red Bull Racing-Renault;57;1:35:10.990;1;25
2012/04/22;2;9;Kimi Raikkonen;Lotus-Renault;57;+3.3 secs;11;18
2012/04/22;3;10;Romain Grosjean;Lotus-Renault;57;+10.1 secs;7;15
2012/04/22;4;2;Mark Webber;Red Bull Racing-Renault;57;+38.7 secs;3;12
2012/04/22;5;8;Nico Rosberg;Mercedes;57;+55.4 secs;5;10
2012/04/22;6;11;Paul di Resta;Force India-Mercedes;57;+57.5 secs;10;8
2012/04/22;7;5;Fernando Alonso;Ferrari;57;+57.8 secs;9;6
2012/04/22;8;4;Lewis Hamilton;McLaren-Mercedes;57;+58.9 secs;2;4
2012/04/22;9;6;Felipe Massa;Ferrari;57;+64.9 secs;14;2
2012/04/22;10;7;Michael Schumacher;Mercedes;57;+71.4 secs;22;1
2012/04/22;11;15;Sergio Perez;Sauber-Ferrari;57;+72.7 secs;8;0
2012/04/22;12;12;Nico Hulkenberg;Force India-Mercedes;57;+76.5 secs;13;0
2012/04/22;13;14;Kamui Kobayashi;Sauber-Ferrari;57;+90.3 secs;12;0
2012/04/22;14;17;Jean-Eric Vergne;STR-Ferrari;57;+93.7 secs;17;0
2012/04/22;15;16;Daniel Ricciardo;STR-Ferrari;56;+1 Lap;6;0
2012/04/22;16;21;Vitaly Petrov;Caterham-Renault;56;+1 Lap;18;0
2012/04/22;17;20;Heikki Kovalainen;Caterham-Renault;56;+1 Lap;16;0
2012/04/22;18;3;Jenson Button;McLaren-Mercedes;55;Exhaust/differential;4;0
2012/04/22;19;24;Timo Glock;Marussia-Cosworth;55;+2 Laps;23;0
2012/04/22;20;22;Pedro de la Rosa;HRT-Cosworth;55;+2 Laps;20;0
2012/04/22;21;23;Narain Karthikeyan;HRT-Cosworth;55;+2 Laps;24;0
2012/04/22;22;19;Bruno Senna;Williams-Renault;54;Retired;15;0
2012/04/22;Ret;18;Pastor Maldonado;Williams-Renault;25;Puncture;21;0
2012/04/22;Ret;25;Charles Pic;Marussia-Cosworth;24;Engine;19;0
2012/05/13;1;18;Pastor Maldonado;Williams-Renault;66;1:39:09.145;1;25
2012/05/13;2;5;Fernando Alonso;Ferrari;66;+3.1 secs;2;18
2012/05/13;3;9;Kimi Raikkonen;Lotus-Renault;66;+3.8 secs;4;15
2012/05/13;4;10;Romain Grosjean;Lotus-Renault;66;+14.7 secs;3;12
2012/05/13;5;14;Kamui Kobayashi;Sauber-Ferrari;66;+64.6 secs;9;10
2012/05/13;6;1;Sebastian Vettel;Red Bull Racing-Renault;66;+67.5 secs;7;8
2012/05/13;7;8;Nico Rosberg;Mercedes;66;+77.9 secs;6;6
2012/05/13;8;4;Lewis Hamilton;McLaren-Mercedes;66;+78.1 secs;24;4
2012/05/13;9;3;Jenson Button;McLaren-Mercedes;66;+85.2 secs;10;2
2012/05/13;10;12;Nico Hulkenberg;Force India-Mercedes;65;+1 Lap;13;1
2012/05/13;11;2;Mark Webber;Red Bull Racing-Renault;65;+1 Lap;11;0
2012/05/13;12;17;Jean-Eric Vergne;STR-Ferrari;65;+1 Lap;14;0
2012/05/13;13;16;Daniel Ricciardo;STR-Ferrari;65;+1 Lap;15;0
2012/05/13;14;11;Paul di Resta;Force India-Mercedes;65;+1 Lap;12;0
2012/05/13;15;6;Felipe Massa;Ferrari;65;+1 Lap;16;0
2012/05/13;16;20;Heikki Kovalainen;Caterham-Renault;65;+1 Lap;19;0
2012/05/13;17;21;Vitaly Petrov;Caterham-Renault;65;+1 Lap;18;0
2012/05/13;18;24;Timo Glock;Marussia-Cosworth;64;+2 Laps;21;0
2012/05/13;19;22;Pedro de la Rosa;HRT-Cosworth;63;+3 Laps;22;0
2012/05/13;Ret;15;Sergio Perez;Sauber-Ferrari;37;Transmission;5;0
2012/05/13;Ret;25;Charles Pic;Marussia-Cosworth;35;Driveshaft;20;0
2012/05/13;Ret;23;Narain Karthikeyan;HRT-Cosworth;22;Wheel nut;23;0
2012/05/13;Ret;19;Bruno Senna;Williams-Renault;12;Accident damage;17;0
2012/05/13;Ret;7;Michael Schumacher;Mercedes;12;Accident;8;0
2012/05/27;1;2;Mark Webber;Red Bull Racing-Renault;78;1:46:06.557;1;25
2012/05/27;2;8;Nico Rosberg;Mercedes;78;+0.6 secs;2;18
2012/05/27;3;5;Fernando Alonso;Ferrari;78;+0.9 secs;5;15
2012/05/27;4;1;Sebastian Vettel;Red Bull Racing-Renault;78;+1.3 secs;9;12
2012/05/27;5;4;Lewis Hamilton;McLaren-Mercedes;78;+4.1 secs;3;10
2012/05/27;6;6;Felipe Massa;Ferrari;78;+6.1 secs;7;8
2012/05/27;7;11;Paul di Resta;Force India-Mercedes;78;+41.5 secs;14;6
2012/05/27;8;12;Nico Hulkenberg;Force India-Mercedes;78;+42.5 secs;10;4
2012/05/27;9;9;Kimi Raikkonen;Lotus-Renault;78;+44.0 secs;8;2
2012/05/27;10;19;Bruno Senna;Williams-Renault;78;+44.5 secs;13;1
2012/05/27;11;15;Sergio Perez;Sauber-Ferrari;77;+1 Lap;23;0
2012/05/27;12;17;Jean-Eric Vergne;STR-Ferrari;77;+1 Lap;16;0
2012/05/27;13;20;Heikki Kovalainen;Caterham-Renault;77;+1 Lap;17;0
2012/05/27;14;24;Timo Glock;Marussia-Cosworth;77;+1 Lap;19;0
2012/05/27;15;23;Narain Karthikeyan;HRT-Cosworth;76;+2 Laps;22;0
2012/05/27;16;3;Jenson Button;McLaren-Mercedes;70;Accident damage;12;0
2012/05/27;Ret;16;Daniel Ricciardo;STR-Ferrari;65;Steering damage;15;0
2012/05/27;Ret;25;Charles Pic;Marussia-Cosworth;64;Electrical;21;0
2012/05/27;Ret;7;Michael Schumacher;Mercedes;63;Fuel pressure;6;0
